term,related_lang
motokwane,Tswana
motor,Latin
mototaxista,Portuguese
mototaxista,Spanish
motswako,Tswana
motto,Italian
moucharaby,French
mouchard,French
mouche,French
mouchoir,French
moue,French
mouflon,French
mouillé,French
moulage,French
moulin,French
moulinage,French
moulinette,French
mountainous,Middle French
mountebank,Italian
mousquetaire,Middle French
moussaka,Greek
mousse,French
mousseline de laine,French
mousseux,French
moustache,French
mouton enragé,French
moutza,Greek
mouvementé,French
moyamoya,Japanese
mozo,Spanish
mozzarella,Italian
mpingo,Swahili
mpret,Albanian
msakhurtukhutsesi,Georgian
mu'min,Arabic
muang,Lao
mubah,Arabic
muban,Thai
muchacho,Spanish
mucho,Spanish
muci,Latin
mucid,Latin
muckamuck,Chinook Jargon
mucor,Latin
mucous,Late Latin
muda,Japanese
mudang,Korean
mudansha,Japanese
mudar,Hindi
mudarabah,Arabic
mudhif,Arabic
mudik,Indonesian
mudra,Sanskrit
mueang,Thai
muenster,German
mufassir,Arabic
muffin,Low German
muga,Assamese
mugger,Hindi
muggie,Afrikaans
mugient,Latin
mugwump,Massachusett
muhajir,Arabic
muhtar,Turkish
muhtasib,Arabic
muhurtam,Sanskrit
muid,French
muisak,Shuar
muishond,Afrikaans
mujahid,Arabic
mujahideen,Arabic
mujerado,Spanish
mujik,Russian
mujtahid,Arabic
mukbang,Korean
mukhannath,Arabic
mukhtar,Arabic
mukim,Malay
mukluk,Yup'ik
muktzeh,Hebrew
mulada,Spanish
mulard,French
mulatto,Spanish
mule,Middle French
mulet,Middle French
muleta,Spanish
muleteer,French
muliebria,Latin
mulier,Latin
mulita,Spanish
mulligatawny,Tamil
mulmul,Hindi
mulo,Romani
multifid,Latin
multiflora,New Latin
multivarious,Latin
mulukhiyah,Arabic
mum,German
mumbo jumbo,Mandinka
mumijo,Russian
mummichog,Narragansett
mundation,Latin
mundowie,Awabakal
mundowie,Dharug
mundu,Malayalam
mung,Hindi
mungaree,Italian
munia,Hindi
municipal,French
municipality,French
municipio,Spanish
municipium,Latin
munition,French
munjeet,Hindi
munjistin,Sanskrit
munshi,Persian
munshi,Urdu
munsif,Hindi
munter,Middle French
munter,Turkish
muntjac,Dutch
muqaddam,Arabic
muqallid,Arabic
murabaha,Arabic
murabahah,Arabic
murabba,Arabic
mural,French
murali,Tamil
murdrum,Medieval Latin
murex,Ancient Greek
murha,Assamese
muri,Japanese
murim,Korean
murmuration,Medieval Latin
murshid,Arabic
mursik,Kalenjin
murtabak,Arabic
murtad,Arabic
murus,Latin
murva,Sanskrit
muryan,Cornish
musaharati,Arabic
musalla,Arabic
musard,Middle English
muscadin,French
muscat,French
muschetor,Middle French
muscimol,German
muscle,Middle French
musculature,French
museau,French
muset,Middle French
musette,French
musetto,Italian
mush,Angloromani
mushaira,Urdu
musica ficta,Medieval Latin
musique concrète,French
muskellunge,French
musketeer,Middle French
musnud,Hindi
musrole,French
mussuck,Urdu
mussuck,Hindi
must,Persian
mustahabb,Arabic
mustang,Spanish
musteefino,Spanish
mustela,Translingual
mustela,Latin
musubi,Japanese
mut'ah,Arabic
mutant,Latin
mutasarrif,Ottoman Turkish
mutawatir,Arabic
muten,Middle French
muti,Zulu
mutility,Late Latin
mutinery,French
mutsje,Dutch
mutsuddy,Urdu
mutter,Hindi
mutual,Middle French
mutule,Latin
muumuu,Hawaiian
muwashshah,Arabic
muy,Spanish
mvule,Swahili
mwalimu,Swahili
mwenge,Luganda
myall,Dharug
myctophid,Translingual
myeloplax,New Latin
myeon,Korean
mygale,Latin
mylohyoid,New Latin
mylohyoideus,New Latin
myna,Urdu
myna,Hindi
myocardium,New Latin
myoga,Japanese
myopia,Ancient Greek
myoseki,Japanese
myria-,French
myriare,French
myrmidon,Latin
myrtetum,Latin
mystagogue,Latin
mystagogus,Latin
mysterium,Latin
mystique,French
myth,Ancient Greek
mythoi,Ancient Greek
mythomane,French
mythomaniac,French
mythos,Late Latin
mythus,Late Latin
mytilus,Latin
myxoma,New Latin
mzee,Swahili
mzungu,Swahili
mâche,French
märzen,German
märzenbier,German
ménage,French
ménage à trois,French
méridienne,French
mésalliance,French
méthode champenoise,French
métier,French
mêlée,French
möngö,Mongolian
n'est-ce pas,French
na,Hindi
na,Tagalog
naan,Urdu
naan,Hindi
naat,Classical Persian
nabal,Korean
naban,Burmese
nabemono,Japanese
nabk,Arabic
nacelle,French
naches,Yiddish
nachos,Mexican Spanish
nacre,Middle French
nada,Spanish
nadaswaram,Tamil
nadir,Medieval Latin
naengmyeon,Korean
naevus,Latin
naga,Sanskrit
nagaika,Russian
nagaimo,Japanese
nagak,Korean
nagamaki,Japanese
nagana,Zulu
nagapie,Afrikaans
nagari,Indonesian
nagauta,Japanese
nage-waza,Japanese
nageire,Japanese
nagewaza,Japanese
naginata,Japanese
nahual,Spanish
nai,Hindi
nai,Romanian
naib,Hindi
naib,Urdu
naissant,French
nait,Old Norse
nait,Old Norse
nait,Old Norse
nait,Old Norse
naive,French
najaasah,Arabic
najis,Arabic
nakamal,Bislama
nakodo,Japanese
nakshatra,Sanskrit
nalayak,Hindi
nam pla,Thai
namahage,Japanese
namaskar,Sanskrit
namasu,Japanese
name,Spanish
namghar,Assamese
namkeen,Hindi
namul,Korean
namus,Arabic
nance,Spanish
nanchon,Haitian Creole
nangry,Dharug
nani,Japanese
naniq,Inupiaq
nano-,Latin
nanook,Inuktitut
nanori,Japanese
nanten,Japanese
nanti,Sabir
nap,French
napelline,Translingual
napha water,Spanish
napoleon,French
napoleon,French
naqib,Arabic
naranjilla,Spanish
narcissism,German
narcissus,Latin
narcocorrido,Spanish
narcodolar,Spanish
narcolepsy,French
narcotic,German
narcotic,Middle French
narezushi,Japanese
narghile,French
narishkeit,Yiddish
nariyal,Hindi
nark,Angloromani
narrative,Middle French
narsharab,Azerbaijani
narthex,Ancient Greek
naruto,Japanese
narutomaki,Japanese
narwhal,Dutch
narwhal,Norwegian Bokmål
nascent,Latin
nase,German
nash,Romani
nasheed,Arabic
nasi,Malay
nasi,Arabic
nasi goreng,Indonesian
nasi lemak,Malay
nasibi,Arabic
nastika,Sanskrit
nasty,Middle Dutch
nasus,Latin
nat,Burmese
nata de coco,Spanish
natal,Latin
natant,Latin
natation,Latin
natator,Latin
natatorium,Late Latin
nationalism,French
nationalize,French
natron,French
nattes,French
natto,Japanese
nature morte,French
naturism,French
nau,Portuguese
nauplius,New Latin
nautanki,Hindi
nautical,Middle French
navaratna,Sanskrit
navarin,French
navew,Middle French
navicular,Middle French
naviform,Latin
navigation,Middle French
navratna,Hindi
nayika,Sanskrit
nazar,Ottoman Turkish
nazuki,Georgian
naïf,French
naïveté,French
ne plus ultra,Latin
nebula,Latin
nebulize,Latin
nebulosus,Latin
necessarium,Latin
necessars,Latin
necro-,Ancient Greek
necropolis,Koine Greek
nectar,Latin
nee,French
neem,Hindi
nef,French
nefarious,Latin
nefasti,Latin
nefastous,Latin
nefesh,Hebrew
negara,Indonesian
negate,Latin
negatory,Middle French
negihama,Japanese
negimaki,Japanese
neglect,Latin
negociant,French
negotiate,Latin
negotiation,Latin
negotiation,Middle French
negotiator,Latin
negotiorum gestio,Latin
negritude,French
negro,Portuguese
negroni,Italian
negus,Amharic
negus,Ge'ez
neinei,Maori
nejayote,Spanish
nek,Afrikaans
nekodamashi,Japanese
nekton,German
nemoral,Latin
nene,Hawaiian
nenuphar,Medieval Latin
neokoros,Ancient Greek
neomenia,Latin
neophyte,Latin
neoteny,German
nepenthes,Latin
nephesh,Hebrew
nephropid,Translingual
nepitella,Italian
nepotism,French
nerion,Latin
nero di seppia,Italian
neroli,French
nervure,French
nervus intermedius,New Latin
neshama,Hebrew
neta,Japanese
neta,Hindi
netop,Narragansett
netsuke,Japanese
neuroleptic,French
neurology,New Latin
neurotic,Ancient Greek
neurula,New Latin
neutral,Middle French
neutralization,French
neutrophil,German
neven,Old Norse
nevus,Latin
nexûs,Latin
ney,Persian
ngaka,Tswana
ngawha,Maori
ngeow,Teochew
ngoma,Swahili
ni-Vanuatu,Bislama
niche,French
nichonage,Japanese
nickel,German
nicotine,French
nidamentum,Latin
niddah,Hebrew
nidiform,New Latin
nidus,Latin
nielle,French
niello,Italian
niellure,French
nigari,Japanese
nigger,French
niggle,Norwegian
nigiri,Japanese
nigirizushi,Japanese
nigori,Japanese
nigorobuna,Japanese
nigredo,Latin
nigua,Spanish
nihari,Urdu
nihil,Latin
nihilism,German
nihilism,French
nihilism,Late Latin
nikah,Arabic
nikkeijin,Japanese
niku-nuki,Japanese
nikuman,Japanese
nil,Latin
nilas,Russian
nillae,Hindi
nimaigeri,Japanese
nimb,Latin
nimbus,Latin
nimono,Japanese
ninang,Tagalog
ninja,Japanese
ninjutsu,Japanese
ninong,Tagalog
ninpo,Japanese
ninpō,Japanese
nipa,Cocopa
nipa,Malay
niqab,Arabic
nirvana,Sanskrit
nisab,Arabic
nisba,Arabic
nish,German
nish,Yiddish
nishi,Japanese
nisi prius,Latin
nitchevo,Russian
nitrate,French
nitrogen,French
nitrum,Latin
nitsuke,Japanese
nix,German
niyoga,Sanskrit
nkisi,Kongo
no,Latin
noblesse oblige,French
nocebo,Latin
nocturnal,Middle French
nocturne,French
nodachi,Japanese
node,Latin
nodose,Latin
nodowa,Japanese
nodule,Latin
nodulus,Latin
nodus,Latin
noetic,Ancient Greek
noeud vital,French
nogada,Spanish
nogaku,Japanese
noh,Japanese
noir,French
noli-me-tangere,Latin
nolle prosequi,Latin
nom de guerre,French
noma,New Latin
nomad,Middle French
nomadic,Ancient Greek
nombril,French
nome,French
nome,French
nomen,Latin
nomen gentilicium,Latin
nomen rectum,Latin
nomen regens,Latin
nomenclature,Latin
nomenklatura,Russian
nomikai,Japanese
nominable,French
nominable,Latin
nominal,Latin
nominate,Latin
nomisma,Ancient Greek
nomisma,Ancient Greek
nomothete,Ancient Greek
nomothetic,Ancient Greek
nomothetics,Ancient Greek
non compos mentis,Latin
non troppo,Italian
nonagenary,Latin
nonagenary,Middle French
nonchalant,French
nonetto,Italian
noni,Hawaiian
nonna,Italian
nonno,Italian
noodle,Dutch
nooit,Afrikaans
nookie,Dutch
noosphere,French
nopal,Spanish
nopales,Spanish
noraebang,Korean
nori,Japanese
norimaki,Japanese
norimon,Japanese
norma,Latin
normale,Italian
norman,French
norry,Khmer
norteño,Spanish
noshi,Japanese
nosocomium,Latin
nostalgia,New Latin
nostalgie de la boue,French
nostrum,Latin
not much chop,Hindi
nota augens,New Latin
notate,Latin
note verbale,French
nothogeneric,Ancient Greek
notice,Middle French
notion,Latin
notitia,Latin
noto-,Ancient Greek
noto-,Ancient Greek
notturno,Italian
nougatine,French
noumenon,German
nous,Ancient Greek
nouveau,French
nouveau riche,French
nouveau roman,French
nouvelle cuisine,French
nouvelle vague,French
novate,Latin
novation,Latin
novel,Italian
novel,Latin
novella,Italian
novellae,Latin
novemvir,Latin
novena,Ecclesiastical Latin
novennium,Late Latin
novice,Middle French
novichok,Russian
novillada,Spanish
novity,Middle French
novum,Latin
nox,Latin
noyan,Mongolian
noyau,French
nu,Yiddish
nuance,French
nubecula,Latin
nubilate,Latin
nubile,French
nuckelavee,Scots
nucleus,Latin
nudiustertian,Latin
nudnik,Yiddish
nudzh,Yiddish
nuevo,Spanish
nugatory,Latin
nuhou,Hawaiian
nuit blanche,French
nulla-nulla,Dharug
nullah,Bengali
nullah,Hindi
nullius filius,Medieval Latin
numen,Latin
numerable,Latin
numeral,Middle French
numerary,Latin
numerate,Latin
numerator,Late Latin
numeric,French
numero,Latin
numero uno,Italian
numerose,Latin
numerosity,Latin
numisma,Late Latin
numismatic,French
numismatics,French
nummus,Latin
numpty,Scots
nunatak,Greenlandic
nunc stans,Latin
nunchaku,Japanese
nunchi,Korean
nuncupate,Latin
nuncupative,Latin
nunnation,Arabic
nuoc mam,Vietnamese
nuptial,Latin
nuptials,Latin
nuqta,Urdu
nuqta,Hindi
nuque,Middle French
nuraghe,Italian
nureongi,Korean
nuruk,Korean
nutation,Latin
nutria,Spanish
nutrient,Latin
nutrition,Middle French
nux vomica,Latin
nuée ardente,French
nyala,Tsonga
nychthemeron,Ancient Greek
nyckelharpa,Swedish
nyctalopia,Ancient Greek
nyet,Russian
nystagmus,New Latin
né,Afrikaans
nécessaire,French
née,French
négligée,French
névé,French
o caudata,Medieval Latin
o-mikuji,Japanese
oaxaquita,Spanish
obasan,Japanese
obeche,Edo
obfuscate,Late Latin
obfuscation,Latin
obi,Japanese
obijime,Japanese
obiter,Latin
obiter dictum,Latin
objective,French
objet d'art,French
oblatum,Latin
oblatum,Late Latin
obligate,Latin
obligatum,Latin
obliquus,Latin
oblongate,New Latin
obmutescence,Latin
obmutescent,Latin
obnubilate,Latin
obnubilate,Latin
obnubilation,Late Latin
oboe d'amore,Italian
obol,Ancient Greek
obolus,Latin
obolus,Ancient Greek
obscurity,Middle French
observant,French
observation,French
observatory,French
obstetric,Latin
obstetrix,Latin
obstreperous,Latin
obstruent,Latin
oca,Spanish
ocarina,Italian
occasion,Middle French
occhio,Italian
occidental,Middle French
occipital,Middle French
occipitofrontalis,New Latin
occiput,Latin
occlude,Latin
occlusion,Late Latin
occult,Latin
occupant,Middle French
occupate,Latin
occupation,Middle French
occur,Middle French
occurrent,Latin
ocellation,Latin
ocellus,Latin
ochdamh,Scottish Gaelic
ochronosis,German
octaeteris,Ancient Greek
octakis-,Ancient Greek
octapla,Late Latin
octapla,Ancient Greek
octennium,Late Latin
octogenarian,Latin
octogintillion,Latin
octonarius,Latin
octopus,Latin
octoroon,Spanish
octovir,Latin
ocular,Latin
ocularium,Latin
oculus,Latin
ocupado,Spanish
oda,Ottoman Turkish
odachi,Japanese
odalisque,French
oden,Japanese
oe,Swedish
oe,Danish
oe,Scottish Gaelic
oecist,Ancient Greek
oeconomus,Latin
oecus,Latin
oeillade,French
oenochoe,Ancient Greek
oestrus,Latin
oeuf,French
oeuf en cocotte,French
oeuvre,French
off vocal,Japanese
officiant,Medieval Latin
officiate,Latin
oga,Yoruba
oghi,Armenian
ogo,Japanese
ogok-bap,Korean
ogonek,Polish
ogonori,Japanese
ogre,French
ohana,Hawaiian
ohelo,Hawaiian
ohia,Hawaiian
oibara,Japanese
oicho-kabu,Japanese
oichomage,Japanese
oidium,Late Latin
oignon vert,French
oikos,Ancient Greek
oikumene,Ancient Greek
oillet,French
ojek,Indonesian
ojime,Japanese
oka,Italian
okamisan,Japanese
okanye,Russian
okapi,Mvuba
oke,Afrikaans
okimono,Japanese
okina,Hawaiian
okiya,Japanese
okka,Turkish
okole,Hawaiian
okolehao,Hawaiian
okonomiyaki,Japanese
okoume,French
okroshka,"ru,uk"
okuriashi,Japanese
okuridashi,Japanese
okurigake,Japanese
okurigana,Japanese
okurihikiotoshi,Japanese
okurinage,Japanese
okuritaoshi,Japanese
okuritsuridashi,Japanese
okuritsuriotoshi,Japanese
olay,Tamil
ole,Spanish
oleaginous,French
oleaginous,Medieval Latin
oleh,Hebrew
olfaction,Latin
olibanum,Medieval Latin
olid,Latin
oliebol,Dutch
oligaemia,Ancient Greek
oligarch,French
oligo-,Ancient Greek
olim,Hebrew
olingo,Spanish
olinguito,Spanish
oliva,Latin
olla,Spanish
olla podrida,Spanish
ollamh,Irish
olm,German
olomao,Hawaiian
oloroso,Spanish
olotera,Spanish
om mani padme hum,Sanskrit
oma,German
omadhaun,Irish
omakase,Japanese
omake,Japanese
omao,Hawaiian
omata,Japanese
omato,Japanese
ombre,French
ombre,French
ombré,French
ombudsman,Swedish
omentum,Latin
omertà,Italian
omertà,Sicilian
omi,Italian
omiai,Japanese
omicron,Latin
omit,Latin
omiyage,Japanese
ommateum,New Latin
omnium,Latin
omo-,Ancient Greek
omo-,Ancient Greek
omohyoid,New Latin
omohyoideus,New Latin
omolanke,Yoruba
omophagia,Ancient Greek
omoplate,French
omphacomel,Ancient Greek
omul,Russian
omuramba,Herero
omurice,Japanese
omweso,Luganda
on dit,French
onahole,Japanese
oncilla,Spanish
ondes martenot,French
onee-chan,Japanese
onee-san,Japanese
onerate,Latin
onglet,French
onguent,French
oni,Japanese
onigiri,Japanese
onii-chan,Japanese
onnagata,Japanese
ono,Hawaiian
onolatry,Latin
onomastic,Ancient Greek
onomatodoxy,Russian
onomatopoeia,Ancient Greek
onto-,Ancient Greek
onycha,Latin
onycho-,Ancient Greek
oo,Hawaiian
ooecium,New Latin
oogruk,Inuktitut
oolith,Late Latin
oolong,Mandarin
oolong tea,Mandarin
oom,Afrikaans
oont,Hindi
oopuhue,Hawaiian
opal,French
opera,Italian
opera,Latin
opera buffa,Italian
operative,Middle French
operator,Latin
operatory,Medieval Latin
operculum,Latin
operetta,Italian
opertaneous,Latin
ophthalmic,Latin
ophthalmic,Ancient Greek
opime,Latin
opinator,Latin
opine,Middle French
opiniatre,French
opisthion,New Latin
opisthocranion,Ancient Greek
opisthodomos,Ancient Greek
opium,Ancient Greek
opopanax,Latin
oppa,Korean
opponent,Latin
opprobrium,Latin
oprichnina,Russian
opson,Ancient Greek
optic,Medieval Latin
optic,Middle French
optic,Ancient Greek
optician,French
optime,Latin
opulent,Latin
opus,Latin
opuscule,Middle French
opusculum,Latin
or,Middle French
ora serrata,Latin
oral,Late Latin
oration,Latin
oratiuncle,Latin
oratorio,Italian
oratory,Latin
orbicularis,New Latin
orbicularis oculi,New Latin
orbicularis oris,New Latin
orbit,Latin
orbita,Latin
orbital,Medieval Latin
orbitalis,New Latin
orc,English
orc,Russian
orc,Ukrainian
orca,Latin
orchestra,Latin
orchestration,French
orchid,New Latin
orchis,Latin
orda,Russian
ordalium,New Latin
ordinaire,French
ordinal,Latin
ordinand,Latin
ordinate,Latin
ordo,Latin
ordoliberal,German
ordoliberalism,German
ordonnance,French
ordu,Classical Mongolian
orecchiette,Italian
oregano,Spanish
oreille de crisse,French
oreillette,French
oreophilous,Latin
orexis,Latin
orfe,German
organista,Spanish
organize,Middle French
organum,Latin
orgiast,Ancient Greek
orgiastic,Ancient Greek
orgone,German
orgueil,French
orgy,French
orientalism,French
orientation,French
orienteer,Swedish
orienteering,Swedish
orignal,French
oriole,Middle French
orisha,Yoruba
oritang,Korean
ormolu,French
ornis,German
ornithorhynchus,Translingual
oropendola,Spanish
oroya,Spanish
orpailleur,French
orpeko,Maasai
orpheline,French
orthogonal,French
orthopedic,French
orthopnoea,Ancient Greek
orthosiphon,Translingual
ortolan,Middle French
orujo,Spanish
orvet,French
orvietan,French
oryctere,Ancient Greek
oryctology,New Latin
oryges,Latin
orzo,Italian
os,Swedish
os,Latin
osakate,Japanese
osar,Swedish
osculate,Latin
osculatrix,New Latin
osculum,Latin
oscuro,Spanish
osh,Tajik
oshac,Arabic
oshana,Kwanyama
oshibori,Japanese
oshidashi,Japanese
oshitaoshi,Japanese
oshizushi,Japanese
osier,French
osotogari,Japanese
ossarium,Latin
ossia,Italian
ossiculum,Latin
osso buco,Italian
ossuarium,Latin
ostalgia,German
ostensible,French
ostension,Middle French
ostentation,Middle French
osteon,Ancient Greek
osteria,Italian
osthya,Sanskrit
ostiarius,Latin
ostiary,Latin
ostinato,Italian
ostiole,Latin
ostium,Latin
ostmark,German
ostracon,Ancient Greek
ostracum,New Latin
ostro,Italian
ostrog,Russian
otak-otak,Malay
otaku,Japanese
otenga,Assamese
otic,Ancient Greek
otkhod,Russian
otsu,Japanese
ottava,Italian
ottava rima,Italian
ottsuke,Japanese
otzovism,Russian
otzovist,Russian
oubliette,French
oud,Arabic
oud bruin,Dutch
ouguiya,French
ounce,Middle French
ouroboros,Ancient Greek
ousia,Ancient Greek
outa,Afrikaans
outjie,Afrikaans
outremer,French
ouvert,French
ouvrier,French
ouvrière,French
ouzo,Greek
ova,Latin
ovary,New Latin
ovine,Late Latin
ovolo,Italian
ovoo,Mongolian
ovule,French
ovum,Latin
oxalate,French
oxalic,French
oxidant,French
oxide,French
oxy-,Ancient Greek
oxygal,Latin
oxygen,French
oxymoron,Latin
oxyrhynchus,New Latin
oxytonesis,Ancient Greek
oy,Yiddish
oy vey,Yiddish
oyabun,Japanese
oyakata,Japanese
oyakodon,Japanese
oyinbo,Nigerian Pidgin
oyinbo,Yoruba
ozeki,Japanese
ozone,German
pa,Maori
pa chew cheng,Hokkien
pa'al,Hebrew
paan,Hindi
pablum,Latin
pabulum,Latin
pacay,Quechua
pace,Latin
pachamanca,Spanish
pachanga,Spanish
pachuco,Mexican Spanish
pachyderm,French
pachyptile,Translingual
pachytene,French
pacificator,Latin
pacifist,French
pacu,Portuguese
pad,West Flemish
pad thai,Thai
padam,Tamil
padang,Malay
padauk,Burmese
padayatra,Sanskrit
padek,Lao
padel,Spanish
pademelon,Dharug
padkos,Afrikaans
padre,Portuguese
padre,Spanish
padre,Italian
padrone,Italian
padwal,Marathi
paella,Spanish
paellera,Spanish
paenula,Latin
pagati,Xhosa
pagne,French
pagri,Urdu
pagri,Hindi
pagus,Latin
pahoehoe,Hawaiian
pahu,Hawaiian
paidakia,Greek
paideutics,Ancient Greek
paifang,Mandarin
paila,Spanish
paillard,French
paillasson,French
paillette,French
pain au chocolat,French
pain aux raisins,French
pain d'épices,French
pain de campagne,French
pain de mie,French
paisa,Hindi
paisa,Spanish
paisa vasool,Hindi
paisano,Spanish
paiza,Mongolian
pakalolo,Hawaiian
pakeha,Maori
pakora,Hindi
pal,Angloromani
palabra,Spanish
paladar,Spanish
paladin,French
palaeotype,New Latin
palak,Hindi
palanka,Ottoman Turkish
palate,Latin
palatial,French
palatine,French
palatine,French
palatoglossus,New Latin
palatopharyngeus,Late Latin
palaver,Portuguese
palay,Tagalog
palazzo,Italian
palea,Latin
paleotestamentary,French
paleta,Spanish
paletot,French
palette,French
palindrome,Ancient Greek
palingenesis,Ancient Greek
palinka,Hungarian
palisade,Middle French
palitaw,Tagalog
palkee,Hindi
palki,Hindi
palla,Italian
palliative,Middle French
pallium,Latin
pallone,Italian
palmar,Latin
palmetto,Spanish
palmier,French
palmita,Spanish
palo santo,Spanish
palo verde,Spanish
palochka,Russian
palomino,Spanish
palp,New Latin
palp,French
palpable,Middle French
palpate,Latin
palpebra,Latin
palpebral,Late Latin
palpebræ,Latin
palpitate,Latin
paludism,French
pamonha,Brazilian Portuguese
pampelmoes,Afrikaans
pampelmoes,French
pampelmoes,Dutch
pan-,Ancient Greek
panache,French
panang,Thai
panatela,Spanish
pancetta,Italian
panchangam,Sanskrit
panchayat,Hindi
panchira,Japanese
panchnama,Hindi
panchway,Bengali
pancit,Spanish
pancit canton,Spanish
panciteria,Spanish
pancratium,Latin
panda,Punjabi
panda,Hindi
panda,French
pandal,Tamil
pandan,Malay
pandanus,New Latin
pandeism,German
pandejo,Spanish
pandoro,Italian
pandour,Serbo-Croatian
paneer,Urdu
paneer,Hindi
panela,Spanish
panelak,Czech
panentheism,German
panettone,Italian
panga,Swahili
panga,Spanish
pangasius,Bengali
pangolin,Malay
panic,Middle French
panic,Latin
panicgrass,Latin
panicle,Latin
panicum,Translingual
paniolo,Hawaiian
panipuri,Hindi
panisse,French
panko,Japanese
panlogism,New Latin
panmictic,New Latin
panmixia,New Latin
panmixis,New Latin
panna cotta,Italian
panne,French
pannhas,German
pannier,French
pannofix,Hungarian
pannus,Latin
panocha,Spanish
panoply,Ancient Greek
pantaloon,French
pantaloons,French
pantang,Malay
pantoum,French
pantun,Malay
panucho,Spanish
panus,Latin
panzer,German
panzerotto,Italian
pap,Afrikaans
papa,French
papabile,Italian
papacy,Medieval Latin
papadam,Tamil
paparazza,Italian
paparazzo,Italian
papaya,Spanish
papeda,Indonesian
paper driver,Japanese
papgeld,Afrikaans
papier-mâché,French
papilla,Latin
papillon,French
papillote,French
papingo,Scots
papirosa,Russian
papissa,Latin
papoose,Narragansett
pappardelle,Italian
pappus,Latin
papri,Hindi
paprika,Hungarian
paprikahuhn,German
paprikash,Hungarian
papula,Latin
papyrus,Latin
paquebot,French
par,French
par,Latin
par excellence,French
para,Serbo-Croatian
para para,Japanese
parabaik,Burmese
parabasis,Ancient Greek
parabola,New Latin
parabolanus,Latin
parachute,French
parade,French
parade,French
paradigma,Late Latin
paradigma,Ancient Greek
parados,French
paradox,Ancient Greek
paradox,Latin
paradox,Middle French
paragraph,Middle French
paralist,Japanese
parallelopipedon,New Latin
paralogism,Middle French
paralysant,French
paralysis,Latin
parameter,French
paramo,Spanish
paramukta,Sanskrit
parang,Malay
paranoiæ,Ancient Greek
parapara,Maori
parapegma,Latin
paraprosdokian,Ancient Greek
parasynthesis,Ancient Greek
paratha,Hindi
paravent,French
pardo,Portuguese
paregoric,Ancient Greek
pareil,French
parelle,French
parembole,Ancient Greek
parenthesis,Late Latin
pareo,Tahitian
parergon,Ancient Greek
pareve,Yiddish
parfait,French
parfilage,French
parfum,French
pariah,Tamil
pariah,Malayalam
paries,Latin
parinirvana,Sanskrit
paristhmion,Ancient Greek
parkour,French
parlando,Italian
parma,Latin
parmesan,Middle French
parmigiana,Italian
paroemia,Latin
parol,Middle French
parol,Tagalog
parole,Middle French
paronychia,Latin
parotid gland,Ancient Greek
paroxysm,French
parquet,French
parquetage,French
parranda,Spanish
parricidal,Latin
parricidial,Latin
parrilla,Spanish
parterre,French
partheniac,Ancient Greek
partialitas,Latin
partiality,Middle French
partible,Late Latin
partibus,Latin
participant,Middle French
participate,Latin
participial,Latin
particular,Middle French
particulate,New Latin
partigiano,Italian
partinost,Russian
partisan,French
partisan,French
partita,Italian
partiture,Italian
partmaximum,Russian
parturient,Latin
paruppu,Tamil
parvenu,French
parvenue,Latin
parvenue,French
pas,French
pas de chat,French
pas de deux,French
pasalubong,Tagalog
pascal,French
pasdaran,Persian
pase,Spanish
pasella,Afrikaans
paseo,Spanish
paseíllo,Spanish
pasha,Ottoman Turkish
pashalic,Ottoman Turkish
pashalik,Ottoman Turkish
pashkevil,Yiddish
pashmak,Persian
pasilla,Spanish
pasillo,Spanish
paskha,Russian
paso doble,Spanish
pasquinade,French
passacaglia,Italian
passamezzo,Italian
passata,Italian
passe-partout,French
passeggiata,Italian
passepied,French
passerelle,French
passim,Latin
passé,French
passéist,French
pasta,Italian
pasta e fagioli,Italian
pasta fazool,Neapolitan
pastegh,Armenian
pastel,Spanish
pastel,French
pasteli,Ancient Greek
pasteurise,French
pasteurize,French
pasticcio,Italian
pasticciotto,Italian
pastiche,French
pastila,Russian
pastilla,Spanish
pastillage,French
pastille,French
pastirma,Ottoman Turkish
pastis,French
pastophorium,Latin
pastrama,Romanian
pastrami,Yiddish
pasuk,Hebrew
patach,Hebrew
patache,Spanish
patacoon,Spanish
patagium,Latin
pataka,Hindi
patakha,Hindi
patamar,Portuguese
pataphysician,French
pataphysics,French
patch,Italian
patchouli,French
pate,French
pate feuilletee,French
patellula,New Latin
patena,Ecclesiastical Latin
pater,Latin
patera,Latin
pathology,French
pathshala,Hindi
patibulum,Latin
patican,Cebuano
patina,Italian
patine,French
patio,Spanish
patisserie,French
patissier,French
pativrata,Hindi
patka,Punjabi
pato,Spanish
patois,French
patola,Gujarati
patolli,Classical Nahuatl
patress,Latin
patriarchate,Middle French
patrician,Middle French
patricide,Latin
patricide,Latin
patricide,Middle French
patricide,Middle French
patrol,French
patrology,New Latin
patroon,Dutch
patte,French
patty,French
patu,Maori
patwari,Bengali
patxaran,Basque
pau,Chinese
pau,Hawaiian
pau hana,Hawaiian
paua,Maori
pauci-,Latin
pauciloquy,Latin
paulownia,New Latin
paupiette,French
pavais,Middle French
pavane,French
pavement,Middle French
pavlova,Russian
pavonazzetto,Italian
pavone,Italian
pawang,Malay
pawn,Middle French
paxillus,Latin
paysage,French
pe,Hebrew
pea coat,Dutch
peau d'orange,French
pecan,French
peccadillo,Spanish
peccata clamantia,Latin
peccavi,Latin
pech,Scots
pechka,Russian
pecorino,Italian
pectinate,Latin
